title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,mean_shot_length,std_dev_shot_length,max_shot_length,min_shot_length,num_shots,stddev_color_with_letterbox_r,stddev_color_with_letterbox_g,stddev_color_with_letterbox_b,detail_score_mean,detail_score_std_dev,detail_score_max,detail_score_min,dark_scene_mean_length,dark_scene_length_std_dev,dark_scene_length_max,dark_scene_length_min,dark_scene_count,dark_scene_percentage,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url,mean_volume,std_dev_volume,min_volume,max_volume,sudden_rise_count_per_cut,sudden_fall_count_per_cut,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
1,3601,150.15,35.30716576,26.12769889,37.21241089,49.59571375,0.298771248,0.563840818,4.295958333,0.041708333,502,20.63286476,24.9579529,27.84895506,0.011611907,0.014256471,0.168828411,0,2.256410256,3.920478442,27,1,78,0.02166065,1,http://www.movie-list.com/trailers/plusone,Supernatural/ Thriller,20-Sep-13,http://imdb.com/title/tt2395385/,0.083190875,0.044425644,0,0.247530422,0.11409396,0.087248322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,3603,150.2334167,32.25048665,25.57492225,34.5412549,37.98619087,0.521209346,1.099786826,13.138125,0.041708333,288,23.63390096,26.15574868,27.80004363,0.012280966,0.011695542,0.078297526,0,4.352941176,5.789861082,25,1,17,0.00471829,'71,http://www.movie-list.com/trailers/71,Action/ Drama/ Thriller,27-Feb-15,http://imdb.com/title/tt2614684/,0.114861033,0.059621493,0,0.288469502,0.11409396,0.080536913,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000-Times-Good-Night,2380,99.224125,61.2485066,58.23833615,61.4048989,68.38940586,0.367001126,0.75670955,5.25525,0.041708333,259,32.9201778,31.7492815,33.83054931,0.015325454,0.012309623,0.064981447,0,1.444444444,0.831479419,3,1,9,0.003781513,1/000 Times Good Night,http://www.movie-list.com/trailers/1000timesgoodnight,Drama,24-Oct-14,http://imdb.com/title/tt2353767/,0.082050328,0.055821671,0,0.27338895,0.051020408,0.040816327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Cloverfield-Lane,2472,103.0612917,35.64142337,29.07226082,39.41996479,33.44039722,0.717028369,1.368675247,14.014,0.041708333,141,18.79359442,22.03334702,18.51016212,0.023357487,0.027236353,0.108040704,0,30,22,70,6,6,0.002427184,10 Cloverfield Lane,http://www.movie-list.com/trailers/10cloverfieldlane,,11-Mar-16,http://imdb.com/title/tt1179933/,0.251265959,0.1395795,0,0.468782539,0.009803922,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Years-a-Slave,3559,148.39825,58.52456478,50.99472894,61.946941,60.69636784,0.859045322,0.916269489,4.671333333,0.041708333,171,34.91084907,41.17582039,38.49534464,0.036071674,0.041616997,0.191908892,0,11.23809524,11.06648635,41,1,21,0.005900534,12 Years a Slave,http://www.movie-list.com/trailers/12yearsaslave,Drama/ History,18-Oct-13,http://imdb.com/title/tt2024544/,0.119161689,0.073056643,0,0.351752638,0.068027211,0.081632653,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Hours-The-Secret-Soldiers-of-Benghazi,3708,154.6127917,47.99398187,42.87199517,50.5702126,48.20024307,0.396015278,0.747873297,7.424083333,0.041708333,390,25.23672349,29.19337224,29.98989268,0.020632292,0.024468344,0.295147731,0,6.846153846,6.926494883,24,1,13,0.003505933,13 Hours: The Secret Soldiers of Benghazi,http://www.movie-list.com/trailers/13hours,Action/ Drama/ Thriller,15-Jan-16,http://imdb.com/title/tt4172430/,0.112990798,0.040461294,0,0.224993005,0.104575163,0.078431373,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Minutes,2438,101.5416667,42.45791684,41.08862467,43.2298342,42.11065131,0.398478836,0.551922547,3.125,0.041666667,252,25.67274681,26.68078017,25.23659526,0.027121702,0.037011541,0.201716523,0,4.666666667,6.472162613,25,1,12,0.004922067,13 Minutes,http://www.movie-list.com/trailers/13minutes,Biography/ Drama/ History,TBA 2015,http://imdb.com/title/tt1708135/,0.106437999,0.041805856,0.023319028,0.24603924,0.13,0.12,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Sins,3505,146.146,36.81803791,33.02132087,36.49040813,48.49206601,0.343795833,0.609533229,5.005,0.041708333,420,25.75855828,26.67644882,32.63409603,0.021488437,0.023301169,0.216462829,0.00194186,0,0,0,0,0,0,13 Sins,http://www.movie-list.com/trailers/13sins,Horror/ Thriller,18-Apr-14,http://imdb.com/title/tt2059171/,0.079887365,0.054935113,0,0.277994786,0.089655172,0.075862069,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jump-Street,3453,143.9771667,66.68942256,66.33125606,65.23407491,75.18077322,0.521354167,0.801169128,6.214541667,0.041708333,274,26.6773877,25.6259347,26.4046756,0.03297145,0.02536473,0.160202547,0,6.5,12.72792206,40,1,8,0.002316826,22 Jump Street,http://www.movie-list.com/trailers/22jumpstreet,Action/ Comedy,13-Jun-14,http://imdb.com/title/tt2294449/,0.119502144,0.072524532,0,0.300949258,0.111888112,0.097902098,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Guns,4451,185.6020833,90.23536126,78.16397242,95.31132899,95.82806827,0.360850113,0.602332035,5.005,0.041708333,514,28.98274052,33.16493865,38.5619736,0.03468128,0.028413836,0.143492975,0,15.57142857,12.45399698,43,1,14,0.003145361,2 Guns,http://www.movie-list.com/trailers/2guns,Action/ Crime/ Drama,2-Aug-13,http://imdb.com/title/tt1272878/,0.106285806,0.064287676,0,0.303734925,0.108695652,0.076086957,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Days-to-Kill,3480,145.1032917,61.96862685,53.47345799,64.57114102,70.89605684,0.240362549,0.380985999,2.919583333,0.041708333,599,22.47064012,24.55335058,23.8813361,0.026994978,0.027842214,0.156517982,0,5.5,5.16973795,24,1,42,0.012068966,3 Days to Kill,http://www.movie-list.com/trailers/3daystokill,Action/ Drama/ Thriller,21-Feb-14,http://imdb.com/title/tt2172934/,0.166068315,0.088031215,0.030488376,0.509200111,0.118055556,0.083333333,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47-Ronin,3601,150.15,49.68821562,42.91411378,53.71764747,46.74498197,0.414832031,0.653776592,5.5055,0.041708333,352,34.26947045,40.29919715,41.57227115,0.020298401,0.027525477,0.178926356,0,6.818181818,10.14278231,36,1,11,0.003054707,47 Ronin,http://www.movie-list.com/trailers/47ronin,Action/ Drama,25-Dec-13,http://imdb.com/title/tt1335975/,0.144097515,0.069011126,0,0.285796836,0.120805369,0.060402685,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Flights-Up-aka-Ruth-Alex,3361,140.14,75.3480583,62.13191432,79.68226558,87.74858966,1.103925403,1.203570331,7.298958333,0.041708333,124,26.22569098,28.69891996,31.15888944,0.029221961,0.02500418,0.136184518,0,10.2,8.611620057,24,1,5,0.001487652,5 Flights Up (aka: Ruth & Alex),http://www.movie-list.com/trailers/5flightsup,Drama,8-May-15,http://imdb.com/title/tt2933544/,0.158918292,0.048898464,0,0.260274103,0.143884892,0.122302158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-to-7,3518,146.6882083,46.06390597,41.42488308,48.15620589,47.49399611,1.855228903,2.231139102,12.22054167,0.041708333,79,16.43840477,20.96259955,19.29120341,0.024583229,0.021908282,0.085672866,0,10.66666667,7.272474743,24,2,6,0.001705514,5 to 7,http://www.movie-list.com/trailers/5to7,Comedy/ Romance,3-Apr-15,http://imdb.com/title/tt2486678/,0.075134967,0.030378404,0,0.152662876,0.124137931,0.103448276,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Souls,3481,145.145,32.88530245,24.80649714,37.76045498,28.99345074,0.432521642,0.917900481,9.634625,0.041708333,335,22.14942839,34.290292,25.55219692,0.014106379,0.027186536,0.252585018,0,0,0,0,0,0,0,6 Souls,http://www.movie-list.com/trailers/6souls,Horror/ Mystery/ Thriller,5-Apr-13,http://www.imdb.com/title/tt1179069/,0.09570308,0.063275517,0,0.308194926,0.111111111,0.118055556,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Years,2392,99.724625,41.40291819,43.98890388,39.80894117,42.86654697,0.898873053,1.007205081,5.839166667,0.041708333,107,25.43690206,27.16368507,25.33445136,0.011228227,0.013896972,0.066998178,0,9,5.715476066,14,1,3,0.001254181,6 Years,http://www.movie-list.com/trailers/6years,Drama/ Romance,18-Aug-15,http://imdb.com/title/tt3799372/,0.10463681,0.048413219,0,0.236344603,0.071428571,0.112244898,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Minutes,2942,122.6642083,53.87806322,51.38360488,54.50858549,57.21898281,0.358616062,0.443451945,2.085416667,0.041708333,331,32.37659384,31.58380018,30.99438757,0.014634324,0.015798478,0.095271379,0,2.098039216,2.098130839,14,1,51,0.017335146,7 Minutes,http://www.movie-list.com/trailers/7minutes,Crime/ Drama/ Thriller,26-Jun-15,http://imdb.com/title/tt2828954/,0.094618182,0.038293198,0,0.191890855,0.173553719,0.148760331,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Birders-Guide-to-Everything,3095,129.0455833,81.74670002,72.81638748,85.05412442,88.20272605,0.389998349,0.607879044,3.378375,0.041708333,328,41.11622085,40.99731953,40.73071021,0.033347572,0.029238199,0.142664183,0,4.578947368,7.96912324,28,1,19,0.006138934,A Birder's Guide to Everything,http://www.movie-list.com/trailers/birdersguidetoeverything,Comedy,21-Mar-14,http://imdb.com/title/tt1582465/,0.083309953,0.044360656,0,0.290252645,0.1171875,0.078125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
