title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,mean_shot_length,std_dev_shot_length,max_shot_length,min_shot_length,num_shots,stddev_color_with_letterbox_r,stddev_color_with_letterbox_g,stddev_color_with_letterbox_b,detail_score_mean,detail_score_std_dev,detail_score_max,detail_score_min,dark_scene_mean_length,dark_scene_length_std_dev,dark_scene_length_max,dark_scene_length_min,dark_scene_count,dark_scene_percentage,mean_volume,std_dev_volume,min_volume,max_volume,sudden_rise_count_per_cut,sudden_fall_count_per_cut,octave1,octave2,octave3,octave4,octave5,octave6,octave7,octave8,octave9,octave10,octave11,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
1,0.68359,0.76708,-1.0381,-1.2619,-1.0154,-0.47509,-0.74007,-0.52532,-0.55991,0.084348,1.5731,-1.0706,-0.90704,-0.6807,-1.0913,-0.90417,0.31926,-0.226,-0.85373,-0.57069,-0.22967,-0.37376,4.9746,4.1873,-0.39748,-0.22596,-0.24501,0.11249,0.58355,0.11905,1.3785,0.43216,0.24441,0.43803,-0.90102,-1.5695,-0.11673,0.86077,0.7606,0.23452,-0.15804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,0.68643,0.77,-1.1871,-1.2893,-1.143,-0.98858,-0.16631,0.35792,1.6422,0.084348,0.075112,-0.81057,-0.79479,-0.68527,-1.0293,-1.1315,-1.0607,-0.226,-0.64903,-0.38507,-0.29421,-0.37376,0.35693,0.16554,0.3892,0.43771,-0.24501,0.52695,0.58355,-0.065739,-0.73298,0.12378,2.3953,1.9826,-0.7587,-0.91963,-0.96544,-2.3639,1.1198,0.062879,0.27537,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000-Times-Good-Night,-1.0503,-1.0186,0.22702,0.3339,0.14076,0.35616,-0.56408,-0.20747,-0.321,0.084348,-0.12788,-0.0058886,-0.27063,-0.12234,-0.74699,-1.077,-1.2637,-0.226,-0.93301,-0.8774,-1.0042,-0.37376,-0.24867,-0.056834,-0.42581,0.27175,-0.24501,0.37428,-1.1587,-1.1594,1.2078,0.94366,-0.38121,0.15652,1.8082,0.33108,1.0025,-0.50362,-0.56795,-1.1826,-1.3912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Cloverfield-Lane,-0.91961,-0.88408,-1.0218,-1.1155,-0.90987,-1.1896,0.33878,0.80104,1.8604,0.084348,-0.95385,-1.23,-1.1811,-1.5524,-0.0022073,0.24805,-0.60731,-0.226,1.8551,1.2245,1.158,0.38614,-0.47577,-0.37832,3.7775,3.9298,-0.24501,2.3524,-2.2972,-1.4734,-0.80828,-1.1688,-0.27272,1.1149,-0.37582,-1.6066,-0.97026,0.66987,0.97822,0.73982,1.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Years-a-Slave,0.62395,0.70565,0.094184,-0.026075,0.16666,0.015892,0.7051,0.055482,-0.46642,0.084348,-0.74386,0.16661,0.61271,0.3131,1.1767,1.5246,0.67108,-0.226,0.023218,0.13885,0.22212,-0.37376,0.65973,0.44617,0.49603,1.0245,-0.24501,1.1676,-0.68893,-0.03557,0.75802,0.52361,1.4322,0.43649,-0.085277,1.023,0.93361,-0.54198,-1.8477,-1.4358,-0.28005,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Hours-The-Secret-Soldiers-of-Benghazi,0.83554,0.92356,-0.41937,-0.42974,-0.37701,-0.53681,-0.48924,-0.22203,0.21915,0.084348,0.78909,-0.67168,-0.51014,-0.48085,-0.25491,0.0023349,2.2447,-0.226,-0.4056,-0.27222,-0.32648,-0.37376,0.054128,-0.12225,0.34275,-0.3991,-0.24501,-0.11568,0.32062,-0.12371,0.30225,0.93051,1.1603,0.65681,-0.50657,-0.23115,-0.32353,-0.80468,-0.90559,-0.25282,1.0072,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Minutes,-0.96789,-0.93736,-0.68935,-0.51837,-0.7278,-0.80615,-0.48288,-0.54496,-0.85153,0.075012,-0.17688,-0.6339,-0.74559,-0.92456,0.34684,1.1158,0.82057,-0.226,-0.6184,-0.31733,-0.29421,-0.37376,-0.021572,0.21391,0.17998,-0.34038,2.3623,0.09739,1.0229,1.0208,0.18944,0.49127,0.31612,0.19398,-0.41428,-0.71742,-1.1289,0.015107,0.3324,0.71194,0.53163,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Sins,0.54727,0.62668,-0.96439,-0.91928,-1.0499,-0.5239,-0.62393,-0.45002,-0.38332,0.084348,0.99908,-0.62646,-0.746,-0.23403,-0.17552,-0.10127,1.0453,4.5696,-1.074,-0.95996,-1.101,-0.52575,-0.92997,-0.95448,-0.47953,0.23303,-0.24501,0.42091,-0.091511,-0.19445,0.56729,0.22309,-0.34814,-0.69606,-2.0722,-1.7522,0.2917,0.14356,2.6932,0.93469,0.30161,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jump-Street,0.47343,0.55063,0.49236,0.73609,0.32375,0.65654,-0.16594,-0.1342,-0.082087,0.084348,-0.022884,-0.54684,-0.84444,-0.81552,0.88926,0.081906,0.18778,-0.226,-0.4394,0.30382,0.18985,-0.37376,-0.32437,-0.40452,0.50449,1.0012,-0.24501,0.6533,0.52262,0.41238,-0.087364,-0.030112,0.21534,-0.091973,0.066324,-0.2256,-0.55183,-0.1294,0.54914,0.33397,-0.16594,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Guns,1.8906,2.0102,1.6406,1.3241,1.7611,1.5698,-0.57994,-0.46189,-0.38332,0.084348,1.6571,-0.34708,-0.13798,0.31932,1.0478,0.35257,-0.066919,-0.226,0.44632,0.27662,0.28666,-0.37376,0.12983,-0.20784,0.1762,0.6415,-0.24501,0.6815,0.43443,-0.18826,-0.60946,-0.71017,-0.27702,-0.43745,-1.0924,-0.88911,-0.69563,0.14401,1.9362,1.0871,0.68102,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
