title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,avg_shot_length,num_shots,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url
Carrie-2013,1393,58.058,39.4897787178,19.17498480498609,49.205769044617455,42.75955552996034,1.74914322917,32,Carrie (2013),http://www.movie-list.com/trailers/carrie2013,"Drama, Horror",18-Oct-13,http://imdb.com/title/tt1939659/
The-Lords-of-Salem,2404,100.225125,158.556974004,142.45374362617457,163.60878142892804,174.90522223715448,0.801571078431,119,The Lords of Salem,http://www.movie-list.com/trailers/lordsofsalem,"Horror, Thriller",19-Apr-13,http://www.imdb.com/title/tt1731697/
Stretch,2463,82.0666666667,107.001294719,100.08510773792281,109.40563005338238,112.84869452005638,0.458429118774,174,Stretch,http://www.movie-list.com/trailers/stretch,"Action, Comedy, Thriller",7-Oct-14,http://imdb.com/title/tt2494280/
The-Wannabe,2856,119.077291667,66.2065341668,54.480575872225934,70.20107572626286,76.44086480034723,0.514217407407,225,The Wannabe,http://www.movie-list.com/trailers/wannabe,"Crime, Drama, Mystery",4-Dec-15,http://imdb.com/title/tt3059816/
Grudge-Match,3635,151.568083333,105.871786477,103.87819469968306,106.3616264207876,108.66946817614054,0.552058271833,271,Grudge Match,http://www.movie-list.com/trailers/grudgematch,"Comedy, Sport ",25-Dec-13,http://imdb.com/title/tt1661382/
And-So-It-Goes,4162,138.8387,169.368289051,158.4559243570471,173.8737335106154,174.92922535003203,0.498219544365,278,And So It Goes,http://www.movie-list.com/trailers/andsoitgoes,"Comedy, Drama, Romance",18-Jul-14,http://imdb.com/title/tt2465146/
The-Conjuring,3673,153.153,58.1210484085,41.452853362324035,66.73371542579946,57.527189329226786,1.20954166667,125,The Conjuring,http://www.movie-list.com/trailers/conjuring,"Horror, Thriller",19-Jul-13,http://imdb.com/title/tt1457767/
The-Big-Short,3673,153.153,88.2936229573,88.80076166170495,88.90509015240006,83.89287172913463,0.639940148305,236,The Big Short,http://www.movie-list.com/trailers/bigshort,Drama,11-Dec-15,http://imdb.com/title/tt1596363/
Filth,1790,74.5416666667,100.426186994,88.26630893580622,103.09066042637896,118.67692616774845,0.763454861111,96,Filth,http://www.movie-list.com/trailers/filth,"Comedy, Crime, Drama",TBA 2014,http://imdb.com/title/tt1450321/
The-Liberator,3370,140.515375,118.712521193,105.24789422577594,123.63388814067513,128.77923921174394,0.722944444444,192,The Liberator,http://www.movie-list.com/trailers/liberator,"Drama, Biography, History",3-Oct-14,http://imdb.com/title/tt2387513/
Fathers-and-Daughters,2880,120.078291667,75.9984339609,59.73040769383142,81.26965183581937,91.57657432975572,0.369157608696,322,Fathers and Daughters,http://www.movie-list.com/trailers/fathersanddaughters,Drama,TBA 2015,http://imdb.com/title/tt2582502/
This-is-Where-I-Leave-You,3672,153.111291667,157.733301075,143.40164504332475,162.8617391069109,169.04130277325203,0.619471311475,244,This is Where I Leave You,http://www.movie-list.com/trailers/thisiswhereileaveyou,"Comedy, Drama",19-Sep-14,http://imdb.com/title/tt1371150/
The-Nut-Job,2425,101.101,223.910451682,199.52017916960125,231.43000916150035,249.33732237105244,0.548854166667,182,The Nut Job,http://www.movie-list.com/trailers/nutjob,"Animation, Adventure, Comedy, Family",17-Jan-14,http://imdb.com/title/tt1821658/
Amityville-The-Awakening,3565,148.6485,56.2238690832,54.16091753695221,56.77140973428891,58.86274839845607,0.393887254902,374,Amityville: The Awakening,http://www.movie-list.com/trailers/amityvilletheawakening,"Horror, Thriller",TBA 2015,http://imdb.com/title/tt1935897/
Triple-9,3339,139.222416667,74.4677714807,64.17145727123025,76.10784809271107,93.08435150799326,0.444354166667,312,Triple 9,http://www.movie-list.com/trailers/triple9,"Crime, Drama",26-Feb-16,http://imdb.com/title/tt1712261/
The-5th-Wave,3826,159.534375,93.4984306688,84.87915557392283,96.4829033972581,100.81216468061582,0.414456036745,381,The 5th Wave,http://www.movie-list.com/trailers/5thwave,,22-Jan-16,http://imdb.com/title/tt2304933/
The-Short-Game,3883,161.91175,176.66879501,135.61361388183255,194.26265048287854,193.8746490137308,0.96353742515,167,The Short Game,http://www.movie-list.com/trailers/shortgame,"Documentary, Sport",20-Sep-13,http://imdb.com/title/tt2466830/
The-To-Do-List,2287,95.34525,229.20153779,210.8249911188108,233.74543603314507,254.1875174871129,1.12364236111,84,The To Do List,http://www.movie-list.com/trailers/todolist,Comedy,26-Jul-13,http://imdb.com/title/tt1758795/
Lost-River,3483,145.228416667,80.5578761668,76.70779474969055,81.3573366660951,86.60666397436263,0.428527693089,328,Lost River,http://www.movie-list.com/trailers/lostriver,"Fantasy, Thriller",TBA 2015,http://imdb.com/title/tt2366608/
The-Immigrant,2302,95.970875,52.2916338416,36.9976061353628,55.390743437399,76.47967517523837,0.595574275362,161,The Immigrant,http://www.movie-list.com/trailers/immigrant,"Drama, Mystery, Romance",16-May-14,http://imdb.com/title/tt1951181/
Under-the-Skin,1253,52.2188333333,54.5574790224,54.37014773515774,54.361773816172494,56.10421608977288,0.950795524691,54,Under the Skin,http://www.movie-list.com/trailers/undertheskin,,4-Apr-14,http://imdb.com/title/tt1441395/
The-Secret-in-Their-Eyes,3456,144.102291667,82.921012637,78.30103859469914,83.94376447881817,89.84072326280004,0.414919788665,347,The Secret in Their Eyes,http://www.movie-list.com/trailers/secretintheireyes,"Mystery, Thriller",20-Nov-15,http://imdb.com/title/tt1741273/
The-Den,2741,114.280833333,129.225177539,125.07774163435742,132.18614188328863,124.96644981679495,0.323895,350,The Den,http://www.movie-list.com/trailers/den,"Horror, Thriller",14-Mar-14,http://imdb.com/title/tt2503154/
Get-on-Up,4102,171.045875,98.5634221725,87.48220400959308,101.53566554019866,112.3996115957919,0.437824162138,368,Get on Up,http://www.movie-list.com/trailers/getonup,"Biography, Drama, Music",1-Aug-14,http://imdb.com/title/tt2473602/
The-Humbling,3355,139.88975,112.816841894,102.08847275142807,118.13925882944407,113.63905662476198,0.450584543011,310,The Humbling,http://www.movie-list.com/trailers/humbling,Drama,23-Jan-15,http://imdb.com/title/tt1568343/
Open-Windows,1896,79.0372916667,69.3546272756,72.25043741855528,69.48056536419108,61.17438300356994,0.282144607843,272,Open Windows,http://www.movie-list.com/trailers/openwindows,"Action, Crime, Thriller",7-Nov-14,http://imdb.com/title/tt2409818/
The-Internets-Own-Boy-The-Story-of-Aaron-Swartz,3133,130.6305,153.480889283,145.83792142584335,154.74099541901592,167.16640577008602,0.290833614232,445,The Internet's Own Boy: The Story of Aaron Swartz,http://www.movie-list.com/trailers/internetsownboy,"Documentary, Biography, Crime",27-Jun-14,http://imdb.com/title/tt3268458/
American-Hero,3823,127.5274,212.885373755,193.71041422277935,219.937663126391,227.03440955248846,0.412710032362,309,American Hero,http://www.movie-list.com/trailers/americanhero,,11-Dec-15,http://imdb.com/title/tt4733536/
Deliver-Us-from-Evil-2014,3632,151.442958333,39.1648405598,36.66915391517089,41.79713436333821,32.18870687116827,1.19265151515,121,Deliver Us from Evil (2014),http://www.movie-list.com/trailers/deliverusfromevil2014,"Crime, Horror, Thriller",2-Jul-14,http://imdb.com/title/tt2377322/
The-Homesman,3348,139.597791667,110.065838365,99.5901490436061,114.2065114683292,116.30807529805512,0.172188477366,810,The Homesman,http://www.movie-list.com/trailers/homesman,"Drama, Western",14-Nov-14,http://imdb.com/title/tt2398231/
The-Sapphires,3277,136.6365,120.551567098,103.74831712816707,126.12484828666877,136.0167470551844,0.473760162602,287,The Sapphires,http://www.movie-list.com/trailers/sapphires,"Comedy, Drama, Musical",22-Mar-13,http://www.imdb.com/title/tt1673697/
The-Raid-2,2281,95.095,89.7362217648,88.79299387644254,91.62758833900409,82.54913631686189,0.418572916667,224,The Raid 2,http://www.movie-list.com/trailers/raid2,"Action, Crime, Thriller",28-Mar-14,http://imdb.com/title/tt2265171/
Ted-2,3571,148.89875,181.583796167,180.4510033763289,183.30856861844825,175.83211823914422,0.791127216312,188,Ted 2,http://www.movie-list.com/trailers/ted2,Comedy,26-Jun-15,http://imdb.com/title/tt2637276/
Runner-Runner,3610,150.525375,86.9452302141,79.29944192460098,91.54917343648535,83.36194925987736,0.337322003745,445,Runner Runner,http://www.movie-list.com/trailers/runnerrunner,"Crime, Drama, Thriller",4-Oct-13,http://imdb.com/title/tt2364841/
Family-Weekend,2529,105.438666667,174.805925464,167.2540890320717,176.42298832395318,186.43319391656055,0.768051234568,135,Family Weekend,http://www.movie-list.com/trailers/familyweekend,"Comedy, Drama, Family",29-Mar-13,http://www.imdb.com/title/tt1821426/
Anomalisa,2901,120.954166667,128.626199945,98.74476477737566,137.39372148778764,161.94101087723726,0.658807320442,181,Anomalisa,http://www.movie-list.com/trailers/anomalisa,"Animation, Comedy, Drama",30-Dec-15,http://imdb.com/title/tt2401878/
Spy,3571,119.119,67.1278315029,61.41555882708125,69.72856411510574,68.77240205201234,0.689841025641,169,Spy,http://www.movie-list.com/trailers/spy,Comedy,22-May-15,http://imdb.com/title/tt3079380/
Nasty-Baby,3001,125.125,134.552150387,121.64629734652594,134.8606223935076,166.92005934305732,0.434,286,Nasty Baby,http://www.movie-list.com/trailers/nastybaby,Drama,23-Oct-15,http://imdb.com/title/tt3121332/
Vice-2015,3602,150.191708333,107.676681793,107.18408108485819,112.35652326948511,84.96562103444668,0.1353625,1100,Vice (2015),http://www.movie-list.com/trailers/vice2015,,16-Jan-15,http://imdb.com/title/tt3480796/
Kidnapping-Mr-Heineken,2844,118.576791667,61.0732961077,48.31483172011058,66.4760326035494,66.75931375659606,0.430278333333,275,Kidnapping Mr. Heineken,http://www.movie-list.com/trailers/kidnappingmrheineken,"Action, Crime, Drama",6-Mar-15,http://imdb.com/title/tt2917388/
The-Gift,3841,160.16,67.7025584965,64.36670339518547,68.25059312467131,73.68642708366264,0.490776584867,326,The Gift,http://www.movie-list.com/trailers/gift,"Drama, Mystery, Thriller",7-Aug-15,http://imdb.com/title/tt4178092/
Captive,3400,141.766625,84.7964912289,68.54341419847707,92.65536931929253,87.01897311017764,0.381774086758,365,Captive,http://www.movie-list.com/trailers/captive,"Crime, Drama, Thriller",18-Sep-15,http://imdb.com/title/tt3268668/
Hercules,2226,92.8010416667,91.4966836273,75.02049198040312,99.27626915563407,94.7183208768658,0.528143895349,172,Hercules,http://www.movie-list.com/trailers/hercules,"Action, Adventure, Fantasy",25-Jul-14,http://imdb.com/title/tt1267297/
CBGB,2946,122.831041667,104.718228701,92.97858265280792,107.0178983276319,123.74933357856939,0.666638194444,180,CBGB,http://www.movie-list.com/trailers/cbgb,"Drama, History, Music",11-Oct-13,http://imdb.com/title/tt1786751/
For-Those-Who-Can-Tell-No-Tales,2839,118.25,61.7900548101,60.65220734491194,61.270863970224674,67.50099021220234,0.516011644833,229,For Those Who Can Tell No Tales,http://www.movie-list.com/trailers/forthosewhocantellnotales,Drama,TBA 2014,http://imdb.com/title/tt3074796/
Generation-Um,1777,74.0,120.397176542,92.62182858558806,133.4533814785695,126.09979868563096,0.285807291667,256,Generation Um...,http://www.movie-list.com/trailers/generationum,Drama,3-May-13,http://www.imdb.com/title/tt1718158/
Noah,3478,145.019875,76.1046027797,66.53592710878513,81.88180434333916,71.51223699447038,0.4826886121,281,Noah,http://www.movie-list.com/trailers/noah,"Drama, Fantasy",28-Mar-14,http://imdb.com/title/tt1959490/
About-Time,3744,156.114291667,158.099965429,140.29852006183225,164.00077046291074,174.5288203588943,0.370619655582,421,About Time,http://www.movie-list.com/trailers/abouttime,,1-Nov-13,http://imdb.com/title/tt2194499/
Disconnect,3624,151.109291667,82.4554602175,68.22735372021239,91.1027113284086,75.30712842761663,0.399320754717,371,Disconnect,http://www.movie-list.com/trailers/disconnect,"Drama, Thriller",12-Apr-13,http://www.imdb.com/title/tt1433811/
Solace,2659,106.32,63.0965428611,55.258820523322925,66.13086347671934,68.07775917434677,0.439338842975,242,Solace,http://www.movie-list.com/trailers/solace,"Mystery, Thriller",TBA 2015,http://imdb.com/title/tt1291570/
Willow-Creek,3129,104.266666667,104.496923903,84.37717250084644,105.6968617774526,151.16253666172202,0.286759259259,360,Willow Creek,http://www.movie-list.com/trailers/willowcreek,Horror,6-Jun-14,http://imdb.com/title/tt2885364/
Gravity,2205,91.8333333333,124.790523603,117.088812420595,133.32634304915177,101.14135263513195,0.523668639053,169,Gravity,http://www.movie-list.com/trailers/gravity,,4-Oct-13,http://imdb.com/title/tt1454468/
The-Pirate-Fairy,2161,90.09,110.20616805,99.66129483683726,116.78651836165079,104.06772583668202,0.28103785489,317,The Pirate Fairy,http://www.movie-list.com/trailers/piratefairy,"Animation, Fantasy",3-Mar-14,http://imdb.com/title/tt2483260/
The-Unknown-Known,3482,145.186708333,134.927659823,118.35031703683016,143.34837326177126,135.15135926357854,0.776676801802,185,The Unknown Known,http://www.movie-list.com/trailers/unknownknown,Documentary,4-Apr-14,http://imdb.com/title/tt2390962/
Philomena,3574,149.023875,97.7016625296,84.90284312919476,102.07518422115211,108.82517175867277,0.655309309309,222,Philomena,http://www.movie-list.com/trailers/philomena,Drama,22-Nov-13,http://imdb.com/title/tt2431286/
The-Riot-Club,3225,134.467666667,86.6830271952,78.39998908078306,92.08690346969304,80.65138703723922,0.654594827586,203,The Riot Club,http://www.movie-list.com/trailers/riotclub,"Drama, Thriller",27-Mar-15,http://imdb.com/title/tt2717860/
Big-Game,2281,95.0,126.781369534,141.18263380328085,123.97715337127246,103.5727303582484,0.530664794007,178,Big Game,http://www.movie-list.com/trailers/biggame,"Action, Adventure",26-Jun-15,http://imdb.com/title/tt2088003/
God-Help-the-Girl,1637,68.1666666667,143.114526285,111.90653770002443,159.3698969754768,141.36432142278818,0.472619047619,140,God Help the Girl,http://www.movie-list.com/trailers/godhelpthegirl,"Drama, Musical, Romance",5-Sep-14,http://imdb.com/title/tt2141751/
Enders-Game,2847,118.701916667,76.0808145311,73.26553104016683,77.91670702011581,74.07579195113559,0.313571895425,357,Ender's Game,http://www.movie-list.com/trailers/endersgame,,1-Nov-13,http://imdb.com/title/tt1731141/
A-Long-Way-Down,3213,133.833333333,226.11588046,226.23401948567349,224.47826112157512,234.43677857580886,0.548326502732,244,A Long Way Down,http://www.movie-list.com/trailers/longwaydown,"Comedy, Drama",11-Jul-14,http://imdb.com/title/tt0458413/
Winters-Tale,3698,154.195708333,77.1883890831,70.48675321814387,78.35867068015285,88.80139348194169,0.655416666667,231,Winter's Tale,http://www.movie-list.com/trailers/winterstale,"Drama, Fantasy, Mystery",14-Feb-14,http://imdb.com/title/tt1837709/
The-Bachelor-Weekend,3016,125.625,167.285223135,147.63831177420101,174.2166294665668,183.2541249876614,0.433045977011,290,The Bachelor Weekend,http://www.movie-list.com/trailers/stag,Comedy,2-May-14,http://imdb.com/title/tt2573858/
Machete-Kills,1634,68.1097083333,122.363749701,87.0130909709917,128.7241868186523,182.40736093983486,0.319434439179,211,Machete Kills,http://www.movie-list.com/trailers/machetekills,"Action, Crime, Thriller",11-Oct-13,http://imdb.com/title/tt2002718/
Goosebumps,3990,166.374541667,61.3452025488,51.38805910168104,63.47328038553618,76.54821137751435,0.420373303647,393,Goosebumps,http://www.movie-list.com/trailers/goosebumps,"Action, Adventure, Comedy",16-Oct-15,http://imdb.com/title/tt1051904/
