title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,avg_shot_length,num_shots,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url,mean_volume,std_dev_volume,min_volume,max_volume,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
Triple-9,3339,139.222416667,74.4677714807,64.17145727123025,76.10784809271107,93.08435150799326,0.444354166667,312,Triple 9,http://www.movie-list.com/trailers/triple9,"Crime, Drama",26-Feb-16,http://imdb.com/title/tt1712261/,0.206076525808,0.13523794608,0.0,0.454425306147,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Lords-of-Salem,2404,100.225125,158.556974004,142.45374362617457,163.60878142892804,174.90522223715448,0.801571078431,119,The Lords of Salem,http://www.movie-list.com/trailers/lordsofsalem,"Horror, Thriller",19-Apr-13,http://www.imdb.com/title/tt1731697/,0.0590119913118,0.0383571556823,0.0,0.152219729233,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stretch,2463,82.0666666667,107.001294719,100.08510773792281,109.40563005338238,112.84869452005638,0.458429118774,174,Stretch,http://www.movie-list.com/trailers/stretch,"Action, Comedy, Thriller",7-Oct-14,http://imdb.com/title/tt2494280/,0.108446860548,0.0414703957686,0.0,0.264409751047,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Wannabe,2856,119.077291667,66.2065341668,54.480575872225934,70.20107572626286,76.44086480034723,0.514217407407,225,The Wannabe,http://www.movie-list.com/trailers/wannabe,"Crime, Drama, Mystery",4-Dec-15,http://imdb.com/title/tt3059816/,0.0973464932221,0.0572972374956,0.0,0.260758216367,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grudge-Match,3635,151.568083333,105.871786477,103.87819469968306,106.3616264207876,108.66946817614054,0.552058271833,271,Grudge Match,http://www.movie-list.com/trailers/grudgematch,"Comedy, Sport ",25-Dec-13,http://imdb.com/title/tt1661382/,0.0545944633222,0.0218818320548,0.0,0.123406453456,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vice-2015,3602,150.191708333,107.676681793,107.18408108485819,112.35652326948511,84.96562103444668,0.1353625,1100,Vice (2015),http://www.movie-list.com/trailers/vice2015,,16-Jan-15,http://imdb.com/title/tt3480796/,0.108278119678,0.0428435389942,0.0,0.207672322044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Conjuring,3673,153.153,58.1210484085,41.452853362324035,66.73371542579946,57.527189329226786,1.20954166667,125,The Conjuring,http://www.movie-list.com/trailers/conjuring,"Horror, Thriller",19-Jul-13,http://imdb.com/title/tt1457767/,0.0407060973978,0.0312084402589,0.0,0.157415524605,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Big-Short,3673,153.153,88.2936229573,88.80076166170495,88.90509015240006,83.89287172913463,0.639940148305,236,The Big Short,http://www.movie-list.com/trailers/bigshort,Drama,11-Dec-15,http://imdb.com/title/tt1596363/,0.0793549724938,0.0352466108801,0.0,0.171651166083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deadpool,4179,174.257416667,102.835490733,103.26735888668814,99.98736802129419,116.45870292645621,0.449837975543,368,Deadpool,http://www.movie-list.com/trailers/deadpool,,12-Feb-16,http://imdb.com/title/tt1431045/,0.132071444204,0.0765286100141,0.0,0.309421776444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annabelle,3455,144.060583333,42.955840126,41.886750816137635,43.75380716921926,41.68776753279687,1.87573230594,73,Annabelle,http://www.movie-list.com/trailers/annabelle,"Horror, Thriller",3-Oct-14,http://imdb.com/title/tt3322940/,0.0439821402652,0.0419658142848,0.0,0.188225885214,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
